sport,event,year,num_athletes,num_countries,medals_awarded,medal_rate
Boxing,Boxing Men's Featherweight,1976,26,25,26,1.0
Cross Country Skiing,Cross Country Skiing Women's Sprint,2006,66,28,66,1.0
Gymnastics,Gymnastics Men's Pommelled Horse,1976,90,19,90,1.0
Cycling,"Cycling Men's Road Race, Individual",1952,111,30,111,1.0
Sailing,Sailing Mixed 3-10 Ton,1900,20,4,32,1.6
Swimming,"Swimming Men's 1,500 metres Freestyle",1936,21,10,21,1.0
Athletics,"Athletics Women's 3,000 metres",1988,35,24,35,1.0
Handball,Handball Women's Handball,1980,82,6,82,1.0
Swimming,Swimming Men's 400 metres Individual Medley,1972,32,20,32,1.0
Art Competitions,"Art Competitions Mixed Literature, Lyric Works",1936,3,3,3,1.0
Cycling,"Cycling Men's Team Pursuit, 4,000 metres",1968,84,19,84,1.0
Bobsleigh,Bobsleigh Men's Four,1988,104,16,104,1.0
Swimming,Swimming Women's 200 metres Backstroke,1992,43,30,43,1.0
Archery,Archery Men's Individual,1972,55,24,55,1.0
Art Competitions,Art Competitions Mixed Painting,1924,64,10,106,1.6563
Cycling,Cycling Women's Points Race,1996,23,23,23,1.0
Equestrianism,"Equestrianism Mixed Jumping, Individual",2008,77,28,77,1.0
Athletics,Athletics Women's 4 x 400 metres Relay,1984,47,10,47,1.0
Sailing,Sailing Mixed Three Person Keelboat,1968,71,22,71,1.0
Wrestling,"Wrestling Men's Heavyweight, Freestyle",1968,14,14,14,1.0
Boxing,Boxing Men's Flyweight,1952,27,26,27,1.0
Judo,Judo Men's Heavyweight,1964,14,12,14,1.0
Alpine Skiing,Alpine Skiing Women's Downhill,2002,38,17,38,1.0
Boxing,Boxing Men's Middleweight,1992,28,28,28,1.0
Speed Skating,"Speed Skating Women's 1,500 metres",1994,30,11,30,1.0
Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",2016,30,15,30,1.0
Equestrianism,"Equestrianism Mixed Dressage, Individual",1952,27,10,27,1.0
Figure Skating,Figure Skating Women's Singles,1924,8,6,8,1.0
Synchronized Swimming,Synchronized Swimming Women's Solo,1988,46,18,46,1.0
Athletics,Athletics Men's 100 metres,2004,82,61,82,1.0
Equestrianism,"Equestrianism Mixed Jumping, Team",2012,59,15,59,1.0
Athletics,Athletics Men's 800 metres,1952,50,32,50,1.0
Weightlifting,Weightlifting Men's Middleweight,2004,25,22,25,1.0
Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",1952,38,18,38,1.0
Equestrianism,"Equestrianism Mixed Dressage, Team",2012,30,10,30,1.0
Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",2010,36,16,36,1.0
Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",1998,30,16,30,1.0
Water Polo,Water Polo Men's Water Polo,2012,155,12,155,1.0
Weightlifting,Weightlifting Men's Heavyweight,2000,21,18,21,1.0
