year,sex,athlete_count
1896,M,176
1900,F,23
1900,M,1201
1904,F,6
1904,M,644
1906,F,6
1906,M,835
1908,F,44
1908,M,1980
1912,F,53
1912,M,2356
1920,F,78
1920,M,2598
1924,F,169
1924,M,3396
1928,F,340
1928,M,3363
1932,F,222
1932,M,1952
1936,F,441
1936,M,4701
1948,F,523
1948,M,4545
1952,F,629
1952,M,4993
1956,F,516
1956,M,3651
1960,F,757
1960,M,5260
1964,F,880
1964,M,5350
1968,F,994
1968,M,5723
1972,F,1266
1972,M,6856
1976,F,1490
1976,M,5710
1980,F,1358
1980,M,4972
1984,F,1846
1984,M,6221
1988,F,2514
1988,M,7359
1992,F,3210
1992,M,7973
1994,F,522
1994,M,1216
1996,F,3517
1996,M,6822
1998,F,789
1998,M,1390
2000,F,4068
2000,M,6579
2002,F,886
2002,M,1513
2004,F,4300
2004,M,6257
2006,F,955
2006,M,1539
2008,F,4609
2008,M,6290
2010,F,1033
2010,M,1503
2012,F,4654
2012,M,5863
2014,F,1102
2014,M,1643
2016,F,5034
2016,M,6145
